City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Puerto Escondido,MX,2021-10-10 17:03:11,15.85,-97.0667,88.63,55,40,6.91
126,Tiksi,RU,2021-10-10 17:03:12,71.6872,128.8694,27.3,90,100,4.21
127,Samarai,PG,2021-10-10 17:03:12,-10.6167,150.6667,78.85,80,100,10.69
128,Rockingham,US,2021-10-10 17:03:13,42.9668,-71.0995,65.91,79,100,1.01
129,Vieques,PR,2021-10-10 17:03:13,18.425,-65.8329,87.91,76,26,15.21
130,Sambava,MG,2021-10-10 17:03:13,-14.2667,50.1667,72.93,75,68,12.12
131,Butaritari,KI,2021-10-10 17:03:14,3.0707,172.7902,81.48,71,17,14.36
132,Zhuhai,CN,2021-10-10 17:03:14,22.2769,113.5678,81.05,94,20,5.75
133,Santa Cruz,BO,2021-10-10 17:03:14,-17.8,-63.1667,88.59,46,81,7.31
134,Lagoa,PT,2021-10-10 17:03:15,39.05,-27.9833,70.18,87,100,18.97
135,Seoul,KR,2021-10-10 17:00:25,37.5683,126.9778,60.19,58,100,7.34
136,Juneau,US,2021-10-10 17:00:18,58.3019,-134.4197,43.84,100,100,2.55
137,Beloha,MG,2021-10-10 17:03:15,-25.1667,45.05,68.58,83,5,3.62
138,Ust-Omchug,RU,2021-10-10 17:02:27,61.15,149.6333,3.27,89,21,1.92
139,Marsh Harbour,BS,2021-10-10 17:00:07,26.5412,-77.0636,81.64,66,39,4.72
140,Miles City,US,2021-10-10 17:03:16,46.4083,-105.8406,54.57,54,1,12.66
141,Diego De Almagro,CL,2021-10-10 17:03:16,-26.3667,-70.05,81.05,7,0,11.07
142,Ulladulla,AU,2021-10-10 17:03:17,-35.35,150.4667,47.08,88,100,8.99
143,Sinop,TR,2021-10-10 17:03:17,41.7711,34.8709,55.83,95,96,3.27
144,Pirgos,GR,2021-10-10 17:03:17,35.1167,25.7178,75.61,73,0,4.92
145,Roma,US,2021-10-10 17:03:18,43.2128,-75.4557,70.12,72,90,11.5
146,Cozumel,MX,2021-10-10 17:00:12,20.5083,-86.9458,87.12,88,6,1.01
147,Kommunar,RU,2021-10-10 17:03:18,59.6206,30.39,52.03,66,34,9.46
148,Vestmannaeyjar,IS,2021-10-10 17:03:11,63.4427,-20.2734,43.79,87,90,13.8
149,Shanhetun,CN,2021-10-10 17:03:19,44.7,127.2,43.05,67,16,7.96
150,Victoria,HK,2021-10-10 16:59:14,22.2855,114.1577,81.32,89,100,5.99
151,Torbay,CA,2021-10-10 17:03:19,47.6666,-52.7314,46.58,75,50,8.01
152,Samana,DO,2021-10-10 17:03:19,19.2056,-69.3369,88.02,66,20,11.5
153,Khatanga,RU,2021-10-10 17:03:20,71.9667,102.5,16.36,96,100,6.02
154,Cape Town,ZA,2021-10-10 16:58:56,-33.9258,18.4232,72.01,57,0,1.01
155,Ribeira Brava,PT,2021-10-10 17:03:20,32.65,-17.0667,76.71,72,18,1.45
156,Northam,GB,2021-10-10 17:03:20,51.0333,-4.2167,62.22,80,51,11.79
157,Qandala,SO,2021-10-10 17:03:21,11.472,49.8728,86.25,67,92,2.21
158,Nemuro,JP,2021-10-10 17:03:21,43.3236,145.575,62.85,93,100,36.33
159,Kaeo,NZ,2021-10-10 17:03:22,-35.1,173.7833,48.33,92,53,3.04
160,Lima,PE,2021-10-10 17:02:10,-12.0432,-77.0282,63.39,73,97,1.01
161,Port Elizabeth,ZA,2021-10-10 17:00:01,-33.918,25.5701,61.11,68,1,18.23
162,Rocha,UY,2021-10-10 17:03:22,-34.4833,-54.3333,64.78,65,81,15.5
163,Alice Springs,AU,2021-10-10 17:03:23,-23.7,133.8833,60.35,77,90,10.36
164,Cidreira,BR,2021-10-10 17:03:23,-30.1811,-50.2056,66.24,80,90,16.93
165,Bubaque,GW,2021-10-10 17:03:24,11.2833,-15.8333,82.6,75,97,10.71
166,Gorele,TR,2021-10-10 17:03:24,41.0308,39.0031,63.84,83,69,2.26
167,Lamu,KE,2021-10-10 17:03:24,-2.2717,40.902,79.02,86,46,12.12
168,Aljezur,PT,2021-10-10 17:03:25,37.3191,-8.8033,73.51,64,55,3.89
169,Bandar-E Lengeh,IR,2021-10-10 17:03:25,26.5579,54.8807,85.84,63,0,2.37
170,Kargat,RU,2021-10-10 17:03:26,55.1956,80.2811,36.34,96,100,12.82
171,Westport,US,2021-10-10 17:01:39,41.1415,-73.3579,65.03,89,100,11.99
172,Alpignano,IT,2021-10-10 17:03:26,45.102,7.5266,61.3,63,0,2.3
173,Karangasem,ID,2021-10-10 17:03:26,-8.45,115.6167,76.14,86,82,6.17
174,Morehead,US,2021-10-10 17:03:27,37.2711,-87.1764,84.83,60,1,1.01
175,Manggar,ID,2021-10-10 17:03:27,-2.8833,108.2667,81.57,81,93,6.29
176,Kahului,US,2021-10-10 17:03:04,20.8947,-156.47,75.85,88,55,7.0
177,Evensk,RU,2021-10-10 17:03:28,61.95,159.2333,26.01,67,52,5.97
178,Ust-Nera,RU,2021-10-10 17:03:28,64.5667,143.2,22.12,76,96,3.36
179,Pueblo Nuevo,MX,2021-10-10 17:03:29,23.3833,-105.3833,70.57,61,16,5.32
180,Marsa Matruh,EG,2021-10-10 17:03:29,31.3525,27.2453,74.91,69,0,10.36
181,Sitio Novo Do Tocantins,BR,2021-10-10 17:03:29,-5.5183,-47.4611,103.23,22,44,5.21
182,Cacoal,BR,2021-10-10 17:03:30,-11.4386,-61.4472,98.76,31,31,4.59
183,Lebu,CL,2021-10-10 17:03:30,-37.6167,-73.65,56.84,70,86,6.96
184,Iwanai,JP,2021-10-10 17:03:30,42.9744,140.5089,58.69,98,100,13.24
