City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Rudsar,IR,37.1376,50.288,57.18,64,100,4.29,overcast clouds
131,Ribeira Grande,PT,38.5167,-28.7,70.09,72,100,9.84,overcast clouds
132,Cabo San Lucas,MX,22.8909,-109.9124,79.52,86,100,8.01,overcast clouds
133,Lata,PT,40.1629,-8.3327,59.41,56,0,3.91,clear sky
134,Porto Belo,BR,-27.1578,-48.5531,73.17,91,100,12.62,light rain
135,Keokuk,US,40.3973,-91.3849,67.08,88,100,3.44,overcast clouds
136,Karratha,AU,-20.7377,116.8463,82.54,16,5,26.08,clear sky
137,Calama,CL,-22.4667,-68.9333,55.11,28,1,2.89,clear sky
138,Barrow,US,71.2906,-156.7887,30.22,80,90,19.57,light snow
139,Souillac,MU,-20.5167,57.5167,71.37,94,40,3.44,scattered clouds
140,Faanui,PF,-16.4833,-151.75,80.62,74,100,14.18,overcast clouds
141,Kilrush,IE,52.6397,-9.4833,53.35,91,69,4.25,broken clouds
142,Chimbote,PE,-9.0853,-78.5783,62.47,85,36,11.16,scattered clouds
143,Deputatskiy,RU,69.3,139.9,21.92,94,100,3.67,light snow
144,Alice Springs,AU,-23.7,133.8833,67.55,21,0,13.8,clear sky
145,Avarua,CK,-21.2078,-159.775,78.85,65,2,14.97,clear sky
146,Regina,CA,50.4501,-104.6178,39.2,62,75,4.61,broken clouds
147,Aykhal,RU,66.0,111.5,13.68,93,100,14.94,overcast clouds
148,Luderitz,NA,-26.6481,15.1594,63.3,64,100,4.63,overcast clouds
149,Nenjiang,CN,49.1833,125.2167,50.23,59,100,14.72,overcast clouds
150,Iberia,US,29.9502,-91.7507,79.05,83,1,6.91,clear sky
151,Porto Novo,BJ,6.4965,2.6036,80.42,89,97,6.51,overcast clouds
152,Hovd,MN,48.0056,91.6419,31.87,43,83,7.27,broken clouds
153,Vila Velha,BR,-20.3297,-40.2925,69.75,88,90,4.61,overcast clouds
154,Mpika,ZM,-11.8343,31.4529,58.6,81,76,6.98,broken clouds
155,Kavieng,PG,-2.5744,150.7967,85.8,68,21,13.27,few clouds
156,Mao,ES,39.8885,4.2658,59.56,77,20,5.75,few clouds
157,Kodiak,US,57.79,-152.4072,44.11,76,90,0.0,light rain
158,New Norfolk,AU,-42.7826,147.0587,60.66,46,100,3.0,overcast clouds
159,Tazovskiy,RU,67.4667,78.7,24.69,79,100,13.96,overcast clouds
160,Tual,ID,-5.6667,132.75,83.17,75,47,1.81,scattered clouds
161,Acarau,BR,-2.8856,-40.12,78.85,76,58,18.57,broken clouds
162,Zhangye,CN,38.9342,100.4517,48.63,21,62,3.22,broken clouds
163,Dabeiba,CO,7.0017,-76.2672,72.84,100,100,0.74,overcast clouds
164,Abalak,RU,58.1286,68.5944,40.96,100,100,3.69,overcast clouds
165,Port Lincoln,AU,-34.7333,135.8667,56.01,58,99,18.54,overcast clouds
166,Bilibino,RU,68.0546,166.4372,6.76,85,11,2.89,few clouds
167,Alta Floresta,BR,-9.8756,-56.0861,75.97,72,44,1.14,scattered clouds
168,Xining,CN,36.6167,101.7667,43.14,47,100,3.65,overcast clouds
169,Nome,US,64.5011,-165.4064,39.27,75,75,9.22,broken clouds
170,Harlingen,US,26.1906,-97.6961,86.34,85,20,19.57,few clouds
171,Meadow Lake,US,34.8014,-106.5436,56.48,26,0,20.85,clear sky
172,Alofi,NU,-19.0595,-169.9187,78.69,61,75,9.22,broken clouds
173,Olafsvik,IS,64.8945,-23.7142,42.64,93,100,10.76,light rain
174,Miri,MY,4.4148,114.0089,82.54,83,20,6.91,few clouds
175,Aklavik,CA,68.2191,-135.0107,27.43,86,100,8.68,overcast clouds
176,Hofn,IS,64.2539,-15.2082,44.74,87,100,2.55,overcast clouds
177,Vardo,NO,70.3705,31.1107,42.01,82,100,17.92,overcast clouds
178,Rio Grande,BR,-32.035,-52.0986,64.94,93,100,7.7,overcast clouds
179,Ulaanbaatar,MN,47.9077,106.8832,30.33,80,0,0.0,clear sky
180,Cidreira,BR,-30.1811,-50.2056,65.59,92,35,21.12,scattered clouds
181,Murakami,JP,38.2333,139.4833,64.29,82,99,4.38,overcast clouds
182,Bentiu,SS,9.2333,29.8333,70.41,97,100,2.82,moderate rain
183,Mandalgovi,MN,45.7625,106.2708,39.49,44,0,13.11,clear sky
184,Snezhnogorsk,RU,69.1933,33.2531,35.38,90,92,14.58,overcast clouds
185,Lukovetskiy,RU,64.2956,41.9211,35.58,92,99,7.23,overcast clouds
186,Cherskiy,RU,68.75,161.3,8.2,87,80,1.16,broken clouds
187,Kupang,ID,-10.1667,123.5833,86.25,58,83,3.29,broken clouds
188,Half Moon Bay,US,37.4636,-122.4286,70.41,46,1,16.11,clear sky
189,Eastlake,US,41.6539,-81.4504,71.73,83,1,3.0,clear sky
190,Yermakovskoye,RU,53.2831,92.4003,31.8,96,100,4.27,light snow
191,Airai,TL,-8.9266,125.4092,77.58,43,79,2.46,broken clouds
192,Zakamensk,RU,50.3741,103.2863,34.93,77,44,1.61,scattered clouds
193,Palana,RU,59.1167,159.9667,35.98,71,98,26.75,light rain
194,Yerbogachen,RU,61.2767,108.0108,21.24,69,23,3.78,few clouds
195,Tilichiki,RU,60.4667,166.1,27.01,45,100,1.86,overcast clouds
196,Inta,RU,66.0317,60.1659,37.81,90,100,17.2,overcast clouds
197,Provideniya,RU,64.3833,-173.3,33.91,60,0,8.95,clear sky
198,Ekibastuz,KZ,51.6667,75.3667,41.0,68,100,13.51,overcast clouds
199,Buraydah,SA,26.326,43.975,75.65,18,0,8.97,clear sky
200,Mehamn,NO,71.0357,27.8492,41.54,77,100,26.53,overcast clouds
201,Haines Junction,CA,60.7522,-137.5108,39.15,81,100,1.14,overcast clouds
202,Pevek,RU,69.7008,170.3133,17.55,89,94,2.66,overcast clouds
203,Morondava,MG,-20.2833,44.2833,74.44,79,86,0.36,overcast clouds
204,Butaritari,KI,3.0707,172.7902,81.48,68,41,7.78,scattered clouds
205,Poum,NC,-20.2333,164.0167,75.13,83,0,17.43,clear sky
206,Tuatapere,NZ,-46.1333,167.6833,47.55,65,91,3.89,overcast clouds
207,Kerema,PG,-7.9631,145.7785,83.98,73,94,4.63,overcast clouds
208,Guerrero Negro,MX,27.9769,-114.0611,66.65,55,0,22.59,clear sky
209,Azua,DO,18.4532,-70.7349,75.06,84,100,2.1,overcast clouds
210,Kontagora,NG,10.3999,5.4695,75.42,62,61,2.35,broken clouds
211,Myitkyina,MM,25.3833,97.4,76.64,94,38,0.43,scattered clouds
212,Katsuura,JP,35.1333,140.3,67.1,88,100,19.89,overcast clouds
213,Pizarro,CO,4.9533,-77.366,76.51,90,94,2.13,overcast clouds
214,Castro,BR,-24.7911,-50.0119,57.11,94,1,4.36,clear sky
215,Verkhnevilyuysk,RU,63.4453,120.3167,21.72,72,95,9.28,overcast clouds
216,Paliyad,IN,22.25,71.5667,79.68,68,0,7.45,clear sky
217,Jilib,SO,0.4883,42.7854,72.66,88,94,4.83,overcast clouds
218,Avera,US,33.194,-82.5271,69.71,75,3,3.94,clear sky
219,Klaksvik,FO,62.2266,-6.589,49.12,98,100,12.15,overcast clouds
220,Dois Corregos,BR,-22.3661,-48.3803,78.15,57,81,6.82,broken clouds
221,Morwell,AU,-38.2333,146.4,65.41,79,100,4.45,overcast clouds
222,Grand-Santi,GF,4.25,-54.3833,73.58,96,10,3.11,clear sky
223,Teguise,ES,29.0605,-13.564,64.62,73,0,4.61,clear sky
224,Port Moresby,PG,-9.4431,147.1797,87.22,66,20,6.91,few clouds
225,Bocaiuva,BR,-17.1078,-43.815,69.51,86,72,7.47,broken clouds
226,Manado,ID,1.487,124.8455,88.57,62,20,2.3,few clouds
227,Kathu,TH,7.9178,98.3332,84.69,94,98,18.57,overcast clouds
228,Hithadhoo,MV,-0.6,73.0833,82.83,75,100,18.05,overcast clouds
229,Camana,PE,-16.6228,-72.7111,61.92,88,98,11.18,overcast clouds
230,Vangaindrano,MG,-23.35,47.6,64.06,78,76,1.36,broken clouds
231,Port Elizabeth,ZA,-33.918,25.5701,59.29,100,75,4.61,broken clouds
232,Gat,IL,31.61,34.7642,78.4,60,97,6.64,overcast clouds
